# x, y, turmHöhe, turmBreiteUnten, turmBreiteOben, nabenRadius, rotorLänge, rotorBreite
153.0, 251.0, 30.0, 15.0, 14.25, 7.125, 20.0, 6.5
-297.0, 303.0, 30.0, 15.0, 14.25, 7.125, 20.0, 6.5
-43.0, 323.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
153.0, 84.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
158.0, 157.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
139.0, 30.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-155.0, 93.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-95.0, 82.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
102.0, 60.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
463.0, 67.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
468.0, 138.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
502.0, 105.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-134.0, 27.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-349.0, 45.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
145.0, 182.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-321.0, 93.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
-488.0, 241.0, 30.0, 15.0, 12.0, 6.0, 20.0, 6.5
315.0, 115.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
0.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
75.0, 216.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
260.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
-65.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
-200.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
5.0, 100.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
370.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
74.0, 127.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
-383.0, 175.0, 330.0, 17.5, 14.0, 7.0, 100.0, 7.75
491.0, 216.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
-130.0, 175.0, 30.0, 17.5, 14.0, 7.0, 20.0, 7.75
